date,age_ig,ami_ig,ami_v_ig,ar_sprd_ig,b_amd_ig,b_amd_m_ig,b_coskew_ig,b_cpi_vol6_ig,b_cptlt_ig,b_credit_ig,b_crf_ig,b_dcpi_ig,b_dcredit_ig,b_defb_ig,b_drf_ig,b_dunc3_ig,b_dunc6_ig,b_dunc_ig,b_duncf_ig,b_duncr_ig,b_dvix_dn_ig,b_dvix_ig,b_dvix_up_ig,b_dvix_va_ig,b_dvix_vp_ig,b_dvixd_ig,b_epu_ig,b_epum_ig,b_eput_ig,b_illiq_ig,b_lrf_ig,b_lvl_ig,b_mktb_dn_ig,b_mktb_ig,b_mktb_mkt_ig,b_mktb_up_ig,b_mktbx_dcapm_ig,b_mktrf_mkt_ig,b_psb_ig,b_psb_m_ig,b_rsj_ig,b_rvol_ig,b_term_dcapm_ig,b_termb_ig,b_unc_ig,b_vix_ig,b_ysp_ig,bbtm_ig,convx_ig,cs_ig,cs_mu12_1_ig,cs_sprd_ig,db_mkt_ig,dcs6_ig,dkurt_ig,dskew_ig,dvol_idio_ig,dvol_ig,dvol_sys_ig,es_90_ig,idimom12_1_ig,idimom3_1_ig,idimom6_1_ig,ilq_ig,iltr24_3_ig,iltr30_6_ig,iltr48_12_ig,imom12_1_ig,imom1_ig,imom3_1_ig,iskew_ig,ivol_bbw_ig,ivol_mkt_ig,ivol_vp_ig,lix_ig,ltr24_3_ig,ltr30_6_ig,ltr48_12_ig,md_dur_ig,mom12_1_ig,mom12_7_ig,mom3_1_ig,mom6_1_ig,mom9_1_ig,p_fht_ig,p_zro_ig,pi_ig,rkt_ig,roll_ig,rsj_ig,rsk_ig,rvol_ig,spd_abs_ig,spd_rel_ig,str_ig,sysmom12_1_ig,sysmom3_1_ig,sysmom6_1_ig,sze_ig,tmat_ig,val_hz_dts_ig,val_hz_ig,val_ipr_dts_ig,val_ipr_ig,var_90_ig,var_95_ig,vov_ig,ytm_ig
2002-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,0.01202038474,-0.003972050177,-0.001685713343,-0.03030329213,,,-0.01605912539,0.02072128178,-0.02147466484,-0.002861559693,-0.03466929252,-0.01541217774,0.01916102456,-0.03217046771,-0.03464423625,0.002768319109,0.01514562291,-0.003332530319,0.00679019673,-0.003280016908,-0.006409631644,-0.01258558211,0.02517689118,,,0.01314818433,0.002624786297,0.001445239691,0.02270631686,,,0.01129237698,-0.001107559095,-0.03337640869,-0.03706913065,-0.02326460238,-0.03311160193,0.02019226948,,,,,-0.01058584722,-0.01727423353,0.02825219153,0.03382462589,0.003543016909,-0.0419538914,-0.01963718371,-0.03723871107,-0.03557241352,-0.02017849229,-0.02721417752,0.0218475567,-0.008800840551,0.003276712721,-0.0246071174,-0.03097944369,-0.03860352281,-0.02763189569,0.01024650252,0.01324037961,0.0050327832,-0.00818481323,0.003617538316,0.01610930447,0.007130688165,0.01753101376,0.0174753942,0.02055996518,0.007364052554,,-0.03023467008,,-0.008644070003,0.021913742,0.03307291063,0.02876462515,-0.01725403263,0.02376155601,0.02097424421,0.03202593266,0.02493607744,0.02099353914,-0.00402183668,0.01090944065,0.00815431634,-0.002838604159,-0.00818481323,0.01141137172,0.003408074928,-0.0367246532,-0.007726061538,-0.01463388297,0.005976176577,0.02396846835,0.03045078191,0.0288086909,0.009829441558,-0.0214830562,-0.0148890206,-0.02616139983,-0.01902895056,-0.03168541955,-0.02727964248,-0.02594563565,-0.01983197936,-0.04384584237
2002-10-31,0.004352951131,0.0121240686,0.01321755166,0.01055034134,,,0.02856355943,-0.01824305987,-0.01208595072,-0.01958285392,0.01291195798,-0.002003484645,0.006559942335,0.02180626873,0.02259233204,0.04307879737,0.04086246476,0.0337036987,-0.02437027431,0.02720724779,0.01191277234,0.03325488029,-0.006293913552,,,-0.01373765211,0.0523692486,0.04821306055,0.0242111878,,,-0.01046439197,-0.002251652516,0.02054578123,0.02195702357,0.0282924064,0.02413994781,-0.004200416382,,,,,0.02115219679,0.02978211144,0.02696196827,-0.02299841592,-0.02331524251,0.004019125957,0.01833895918,-0.002448171376,0.001027407992,0.00703544024,0.020314877,0.003412348526,0.005866587072,0.01055167401,0.005654302648,0.0078077546,0.01176291025,0.01940603316,-0.0173198869,0.03254540372,-0.002931364756,0.001236046281,-0.01853202541,-0.01143541724,-0.02585641881,-0.02615726418,0.04190587008,-0.005590069958,-0.001294959236,,0.02077860079,,-0.007693387229,-0.01854420537,-0.008562467068,-0.007852322468,0.01554301058,-0.01130553325,0.00794313835,0.02085851752,-0.01192230222,-0.01832101118,-0.005544963486,-0.007017641303,0.00565720552,0.007236712587,0.001236046281,0.01486792232,0.01317807512,0.01693723828,-0.01226050852,-0.01354660188,0.01360224425,-0.006395119088,-0.01365292392,-0.01343648517,0.01596265861,0.01812781532,-0.008904133238,-0.00462330875,-0.009931708461,-0.009463392337,0.01229348945,0.01533938856,-0.007566860887,0.009054982066
2002-11-30,-0.006691255111,0.01065011638,0.005234086974,0.05912868368,,,0.01673319562,0.01738987789,0.03011319583,-0.03139914322,0.04956802173,0.01947030369,-0.03051564565,0.05150014718,0.03768291124,-0.003280381449,-0.000381153176,0.004631010189,0.02629485141,0.0002847738269,0.02118325757,0.01806927969,-0.04100942457,,,-0.02842472914,-0.0145091212,-0.009771982326,-0.02587171284,,,0.01942347589,0.01987489893,0.05346735959,0.06116426601,0.0293985755,0.05756751872,-0.02782198385,,,,,0.01211168062,0.02806897867,0.02280663767,-0.04456320273,-0.01875799376,0.08791014234,0.02738663391,0.07707043877,0.06265609774,0.0429753632,0.045970913,-0.05408456951,0.0168773566,0.002421582229,0.04421236994,0.04944624358,0.05823362828,0.07009847484,-0.007873239257,-0.007041255098,-0.01608269395,0.01260156063,-0.01782419607,-0.02585457857,-0.0024340223,-0.03638823491,-0.03161083973,-0.01305252841,-0.03296834125,,0.05783432599,,0.03209448329,-0.05148406549,-0.04139195472,-0.04867445089,0.02232021059,-0.05289500769,-0.001920027338,-0.03533756893,-0.05933299354,-0.05594189176,0.007346273226,-0.007500622435,-0.007756528253,0.01397423932,0.01260156063,0.004749815472,-0.004214793844,0.06055521362,0.03143807367,0.03894477972,-0.03612206003,-0.06880043886,-0.07420321255,-0.06418751099,-0.02710173546,0.02885080229,0.03273022755,0.05588509561,0.03724748116,0.05925934083,0.06817672176,0.06837377307,0.04160638805,0.09224026154
2002-12-31,-0.005223267864,-0.01037081509,-0.01068677824,-0.001558584007,,,-0.0009445662438,0.003155767779,-0.005057896303,-0.01434129555,-0.01080796019,0.003939054772,0.005712490182,-0.00865364673,-0.008436448558,0.006377359652,0.007111149293,0.0006051189845,-0.008924118704,-0.0001120830107,-0.0003344030094,0.006238438004,-0.001205211499,,,-0.006754757492,-0.003774673806,-0.004795523265,-0.008458878195,,,0.00653521568,0.001930908284,-0.0104111508,-0.01085777401,-0.007996370128,-0.009980793909,0.009458417625,,,,,0.005577629417,-0.003154902383,0.003564423822,0.006789025568,-0.01283595548,-0.001934903099,-0.008114512304,0.004162001299,0.004380144388,0.00225342925,0.00592342316,-0.001238533366,0.00369985678,0.002659510819,-0.0005430977322,-0.0001951141306,0.001171799132,-0.003229252986,0.002571796252,0.00357620793,0.002887166684,-0.006806747196,-0.002483911591,-0.005032460786,0.001157408718,-0.009908936943,0.00278201096,0.002033942784,-0.005512751359,,-0.002310170616,,-0.02002274859,-0.002334117111,-0.008366852704,0.001295562801,-0.009581638031,-0.00119330927,-0.01100816861,0.003322895375,0.003049814151,0.0001954329163,-0.002565729689,-0.006232917404,0.008609895194,0.00291325264,-0.006806747196,-0.0005527555215,0.002132818869,0.001656822407,-0.009763900747,-0.008949791394,0.002043585808,-0.001298934666,0.005948984026,0.006664113427,0.01256890351,-0.007839474664,0.008298638043,0.005439713007,0.004328161372,0.0007457797957,-0.003505516105,-0.003901913716,-0.01045785588,-0.003634287321
2003-01-31,0.008370468385,0.0160867582,0.009456599474,0.003211640512,,,0.000135947957,0.01153738364,0.004501529734,-0.007805915019,0.01073709484,0.006039331478,0.003505766478,0.006730294862,0.008907943591,0.00196431387,-0.002873121473,0.001382127892,0.007323394259,-0.005355131558,0.003419302422,0.01927670574,0.009953562729,,,0.0008341947358,-0.0002009164588,0.004694144112,-0.01438152258,,,0.002550776341,-0.006093587195,0.01087250481,0.006653943109,-0.0003271518623,0.005165025539,0.004012818284,,,,,-0.002041622513,-0.003798072515,0.007748807643,0.002545148079,-0.002723567977,0.008560533708,0.005760004649,0.0100337751,0.009090027802,0.002364260476,0.002765514314,-0.002648033046,-0.009886651052,0.002606015845,0.01718656514,0.01780193475,0.009267622215,0.01658753863,0.00989618065,0.004032913479,0.00685492175,0.01470463502,-0.004122395798,-0.001035271395,0.004147198512,-0.004799174536,0.006676510381,0.002364540075,-0.01282036559,,0.01434602753,,0.01712857018,-0.002596374753,0.0005838289469,-0.003871153414,0.005865229578,-0.00225380845,-0.006634731611,0.0009677518585,-6.496538271e-05,-0.003550399238,0.01266199794,0.00660290249,0.006393088425,-0.007272005423,0.01470463502,-0.003075324165,-0.001657608766,0.01355139685,0.008093223089,0.009564234354,-0.009375261779,-0.0143986607,0.006669610147,-0.01172845181,-0.00790512527,0.006162111056,0.006223479619,0.01047419905,0.004078069647,0.007186135679,0.01201432619,0.0146945255,0.01432153157,0.01130796075
2003-02-28,-0.004026587938,-0.00627971618,-0.004518132992,-0.003389730366,,,0.01175141151,-0.004001156667,-0.001237521404,0.003078235707,-0.003977806906,0.005490212028,-0.00426478208,-0.004045584781,-0.00387713872,0.002284700246,-3.0594442e-05,0.004694236255,-0.00208992994,0.005923855141,0.005923874982,0.0009707582977,0.002521231999,,,0.0008975177022,-0.004629188252,0.002109275573,-0.009371529089,,,-0.002523322952,-0.004426827099,-0.004636626485,-0.004597855173,0.003888079501,-0.002027120309,-0.0005028902727,,,,,0.01030449676,0.006084166292,-0.008982414711,0.003064531179,-0.003615922928,-0.003958579261,-0.008795560644,0.0007852393804,0.002069891476,-0.002019628818,0.003486194333,0.008629019786,0.0008615244655,0.0005595714218,-0.004232209054,-0.004708860771,-0.003951045807,-0.001954521754,0.01312571142,0.007916411596,0.01265126367,-0.003326936435,-0.006113649098,-0.006052451546,-0.00171300916,-0.003556161176,-0.000442480312,0.004117086436,-0.0003260854094,,-0.002386149349,,-0.00949574544,0.0001380230087,-0.00463705112,-0.004414594571,-0.009176544923,0.008042388384,-0.001796346887,0.009163758034,0.01456956261,0.008875356426,-0.00311032499,0.001298678981,0.004726580449,7.200921697e-05,-0.003326936435,0.00195066711,0.001177491008,-0.003064679139,-0.006356701281,-0.008198185915,-0.004769036032,-0.0001469867753,-0.005079681239,-0.003467090549,0.00666461295,-0.009154756086,-0.0001031606085,-0.0008146541166,-0.001358419924,-0.003478396942,-0.001364907252,-0.00226060652,-0.008383148708,-0.005484687341
2003-03-31,0.003017792923,0.005271073893,0.00308783706,0.005820316405,,,0.006815471933,-0.007714134006,-0.01031912119,-0.003122335832,0.007749925746,-0.002606347315,0.01101658858,0.008633787196,0.01416502793,0.01945281407,0.01689626329,0.01343744027,-0.0188149677,0.007208663252,-0.003324814703,0.01860107428,0.005992072447,,,0.0001437109729,0.01348020202,0.01060306053,-0.00843643264,,,-0.01925621419,-0.005336207584,0.01072087024,0.005445301455,0.004458057066,0.007005669005,0.01329015663,,,,,-0.001840788198,0.003506865663,-0.004142055117,-0.00196802438,-0.009010233892,0.003629355428,0.01403170175,0.004667304557,0.006174040143,0.000291342154,0.004659110168,0.01053251603,-0.00144970834,-0.0007983609739,0.01188198217,0.0114912619,0.007518063031,0.01438507244,0.01634914711,0.004579157954,0.02134128649,0.009619574725,-0.01116459682,-0.01633045002,-0.007847160521,-0.01637953661,0.01386422678,0.01491942641,-0.0009697397395,,0.01433267446,,0.003671908475,0.003140584856,-0.002249280297,-0.002945137326,0.014325663,0.001587639149,-0.00845798016,0.01413278067,0.01753592858,0.01338495768,0.00813393558,0.003560627918,0.002703555812,-0.001852920642,0.009619574725,-0.0007384547089,0.001087277532,0.01120816797,0.004143765939,0.004439544319,0.00267392437,-0.003724940663,0.01502370454,0.006821578428,-0.001034885824,0.01394551986,-0.002104672657,-0.0007421386947,-0.007119827416,-0.00338055967,0.01290870497,0.01280260826,0.002655998002,0.01352077136
2003-04-30,-0.005337027006,-0.006410147957,-0.005060594486,0.02539873756,,,0.01406202914,0.007699841049,0.0243448205,0.00196163948,0.03136620673,-0.01532614905,-0.005176960671,0.03148568216,0.02614631378,-0.0186466834,-0.02311643232,-0.006619048239,0.01540745347,0.01813948236,-0.003112802998,-0.006476445878,-0.01697562017,,,-0.012299301,-0.0191138374,-0.0175170295,-0.02493470438,,,0.01536993505,-0.00424207074,0.03168165097,0.03023730112,0.0284537539,0.03074580087,-0.01147886502,,,,,-0.004167043612,0.01734535072,0.0001509454035,-0.01818339645,0.008853736638,0.03649078115,0.01876054482,0.0402823714,0.03632097403,0.02032958129,-0.000293344836,-0.02225249717,0.008589269185,0.0001626090822,0.00529595326,0.004723216002,0.003636041472,0.03574150721,0.005803708885,-0.01237071483,-0.007656836089,0.0008690567393,-0.00268603244,-0.01235099177,-0.006204343283,0.004136236553,0.01846592604,0.002653354141,-0.01149197046,,0.03381032844,,-0.008091250821,-0.02466044187,-0.02469075583,-0.0234631393,0.01821816633,-0.02475854058,-0.01871106364,-0.004981328941,0.0008303428773,-0.02104887143,-0.006105313355,-0.009714471352,-0.0005148970635,0.005268398075,0.0008690567393,-0.002838425263,-0.005434933451,0.01013963758,0.00258199152,0.003978673487,-0.009360567012,-0.02698144611,0.01544440375,0.01684246533,0.005054306699,0.01943696699,0.01143788411,0.03221569332,0.01610357284,0.02976919777,0.03940512205,0.03528152521,-0.00658523258,0.04513014716
2003-05-31,0.0006305887681,-0.002907161657,-0.00211586966,-0.005861906822,,,0.004577414688,-0.008416375095,-0.0006461575069,-0.0008460910956,-0.01275652778,0.002882284153,-0.009644679957,-0.01150985647,-0.01124818609,0.002908763389,-0.001728204792,0.0042585862,-0.007232687968,0.009446681943,0.005997550691,0.005090599732,-0.001286977294,,,-0.002191803627,-0.001744312463,-0.0002138165025,-0.004057085252,,,0.006231918112,-0.0004432965213,-0.0116273767,-0.006541315588,-0.005578390527,-0.01040651083,-0.003364921355,,,,,0.006690310819,0.0008794524606,-0.006967638956,0.001082336588,-0.006381278743,-5.931686649e-05,-0.01799347548,0.001011932079,0.002402119013,-0.001335639632,-0.0002842246864,0.004431363433,0.00765297736,-0.002332727193,-0.006460884928,-0.0063617437,-0.003911525884,-0.007160733356,0.006297345859,-0.001739623342,0.006819627345,-0.005486612614,0.002690809606,0.003712525679,0.002858968952,0.00132945916,-0.003480794019,-0.004512922167,-0.001253650561,,-0.006628447815,,-0.01774309344,-0.001386215238,-0.0006176096774,0.003524747069,-0.01812593052,0.001936450469,0.003143029661,-0.003530464062,-0.002530969334,0.003395094852,-0.005284480881,-0.006099335847,-0.0006856965994,0.002879959567,-0.005486612614,-0.002475649768,-0.00333721517,-0.006323755448,-0.009023542085,-0.01087043524,-0.001532794684,-0.006213997591,-0.0132799117,-0.01196350041,0.01520336587,-0.01758600922,0.004829368845,-0.003528284629,0.004759250752,0.0002735857775,-0.01060010541,-0.007986254006,-0.01446589504,-0.01537466571
