date,age_wf_hy,b_amd_m_wf_hy,b_amd_wf_hy,b_coskew_wf_hy,b_cpi_vol6_wf_hy,b_cptlt_wf_hy,b_credit_wf_hy,b_crf_wf_hy,b_dcpi_wf_hy,b_dcredit_wf_hy,b_defb_wf_hy,b_drf_wf_hy,b_dunc3_wf_hy,b_dunc6_wf_hy,b_dunc_wf_hy,b_duncf_wf_hy,b_duncr_wf_hy,b_dvix_dn_wf_hy,b_dvix_up_wf_hy,b_dvix_va_wf_hy,b_dvix_vp_wf_hy,b_dvix_wf_hy,b_epu_wf_hy,b_epum_wf_hy,b_eput_wf_hy,b_illiq_wf_hy,b_lrf_wf_hy,b_lvl_wf_hy,b_mktb_dn_wf_hy,b_mktb_mkt_wf_hy,b_mktb_up_wf_hy,b_mktb_wf_hy,b_mktbx_dcapm_wf_hy,b_mktrf_mkt_wf_hy,b_psb_m_wf_hy,b_psb_wf_hy,b_rsj_wf_hy,b_rvol_wf_hy,b_term_dcapm_wf_hy,b_termb_wf_hy,b_unc_wf_hy,b_ysp_wf_hy,bbtm_wf_hy,convx_wf_hy,cs_mu12_1_wf_hy,cs_wf_hy,dcs6_wf_hy,es_90_wf_hy,idimom12_1_wf_hy,idimom3_1_wf_hy,idimom6_1_wf_hy,iltr24_3_wf_hy,iltr30_6_wf_hy,iltr48_12_wf_hy,imom12_1_wf_hy,imom1_wf_hy,imom3_1_wf_hy,iskew_wf_hy,ivol_bbw_wf_hy,ivol_mkt_wf_hy,ivol_vp_wf_hy,ltr24_3_wf_hy,ltr30_6_wf_hy,ltr48_12_wf_hy,md_dur_wf_hy,mom12_1_wf_hy,mom12_7_wf_hy,mom3_1_wf_hy,mom6_1_wf_hy,mom9_1_wf_hy,str_wf_hy,sysmom12_1_wf_hy,sysmom3_1_wf_hy,sysmom6_1_wf_hy,sze_wf_hy,tmat_wf_hy,val_hz_dts_wf_hy,val_hz_wf_hy,val_ipr_dts_wf_hy,val_ipr_wf_hy,var_90_wf_hy,var_95_wf_hy,ytm_wf_hy
1973-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-02-28,-0.0006283293478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006283293478,0.0005909909572,,-0.0005688229188,,,,,,,,,,,,,,,,,,,0.0006524920464,,,,,,,,,,-0.0003741829811,0.000905607827,,,,,,,-0.0002732104234
1973-03-31,-0.0002177278899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002177278899,0.001777931514,,-0.0012614156,,,,,,,,,,,,,,,,,,,0.001736348165,,,,,,-0.0008369498537,,,,0.001322805008,-0.0003983058656,,,,,,,-0.0007703428273
1973-04-30,0.007109185339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007501759054,0.005034904058,,-0.005581220488,,,,,,,,,,,,,,,,,,,0.005442169526,,,,,,0.005581382662,,,,0.005242027839,-0.007189469924,,,,,,,-0.00681949084
1973-05-31,-0.007928107089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01120059875,0.007795903056,,-0.01047450754,,,,,,,,,,,,,,,,,,,0.007270120084,,,0.01259168734,,,-0.01043301076,,,,-0.008814851288,0.007818600163,,,,,,,-0.01128177236
1973-06-30,0.01100699653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009427227949,-0.01112847266,,0.008868792218,,,,,,,,,,,,,,,,,,,-0.01176165063,,,-0.01129660849,,,-0.007750579901,,,,0.008438677527,-0.0107019186,,,,,,,0.00817609895
1973-07-31,-0.007907224943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009156627208,0.007747610162,,-0.01228807171,-0.01036637059,,,,,,,,,,,,,,,,,,0.009327215701,,,0.01230874807,,,-0.007553637028,,,,-0.0111243022,0.007943797112,0.01456145414,0.01456145414,0.01246379875,0.01246379875,,,-0.01220319917
1973-08-31,0.002685312058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004355388383,-0.003002305205,0.006880453167,0.009713183964,-0.01227929598,,,,,,,,,,,,,,,,,,-0.006390293067,,,0.001732017472,0.002667060588,,-0.01053631641,,,,0.00824793602,-0.002513472363,-0.008076458859,-0.008076458859,-0.007998181197,-0.007998181197,,,0.009944339097
1973-09-30,-0.003733689793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003761782673,0.00373593366,-0.004397165837,-0.004054009863,0.005483158812,,,,,,,,,,,,,,,,,,0.004872735486,,,0.005137632601,0.007727786526,,-0.007339830045,,,,-0.005148480595,0.003721471643,0.005494751347,0.005494751347,-0.001892122688,-0.001892122688,,,-0.005212450297
1973-10-31,0.009942648725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006152006797,-0.0100522924,0.007960553695,0.007899302472,-0.005214195181,,,,,,,,,,,,,,,,,,-0.009886015931,,,-0.0084456581,-0.006789399311,,-0.009551495314,,,,0.006494963852,-0.01001576024,-0.007100773251,-0.007100773251,-0.007674951831,-0.007674951831,,,0.006062704552
