date,age_wf_ig,ami_v_wf_ig,ami_wf_ig,ar_sprd_wf_ig,b_amd_m_wf_ig,b_amd_wf_ig,b_coskew_wf_ig,b_cpi_vol6_wf_ig,b_cptlt_wf_ig,b_credit_wf_ig,b_crf_wf_ig,b_dcpi_wf_ig,b_dcredit_wf_ig,b_defb_wf_ig,b_drf_wf_ig,b_dunc3_wf_ig,b_dunc6_wf_ig,b_dunc_wf_ig,b_duncf_wf_ig,b_duncr_wf_ig,b_dvix_dn_wf_ig,b_dvix_up_wf_ig,b_dvix_va_wf_ig,b_dvix_vp_wf_ig,b_dvix_wf_ig,b_dvixd_wf_ig,b_epu_wf_ig,b_epum_wf_ig,b_eput_wf_ig,b_illiq_wf_ig,b_lrf_wf_ig,b_lvl_wf_ig,b_mktb_dn_wf_ig,b_mktb_mkt_wf_ig,b_mktb_up_wf_ig,b_mktb_wf_ig,b_mktbx_dcapm_wf_ig,b_mktrf_mkt_wf_ig,b_psb_m_wf_ig,b_psb_wf_ig,b_rsj_wf_ig,b_rvol_wf_ig,b_term_dcapm_wf_ig,b_termb_wf_ig,b_unc_wf_ig,b_vix_wf_ig,b_ysp_wf_ig,bbtm_wf_ig,convx_wf_ig,cs_mu12_1_wf_ig,cs_sprd_wf_ig,cs_wf_ig,db_mkt_wf_ig,dcs6_wf_ig,dkurt_wf_ig,dskew_wf_ig,dvol_idio_wf_ig,dvol_sys_wf_ig,dvol_wf_ig,es_90_wf_ig,idimom12_1_wf_ig,idimom3_1_wf_ig,idimom6_1_wf_ig,ilq_wf_ig,iltr24_3_wf_ig,iltr30_6_wf_ig,iltr48_12_wf_ig,imom12_1_wf_ig,imom1_wf_ig,imom3_1_wf_ig,iskew_wf_ig,ivol_bbw_wf_ig,ivol_mkt_wf_ig,ivol_vp_wf_ig,lix_wf_ig,ltr24_3_wf_ig,ltr30_6_wf_ig,ltr48_12_wf_ig,md_dur_wf_ig,mom12_1_wf_ig,mom12_7_wf_ig,mom3_1_wf_ig,mom6_1_wf_ig,mom9_1_wf_ig,p_fht_wf_ig,p_zro_wf_ig,pi_wf_ig,rkt_wf_ig,roll_wf_ig,rsj_wf_ig,rsk_wf_ig,rvol_wf_ig,spd_abs_wf_ig,spd_rel_wf_ig,str_wf_ig,sysmom12_1_wf_ig,sysmom3_1_wf_ig,sysmom6_1_wf_ig,sze_wf_ig,tmat_wf_ig,val_hz_dts_wf_ig,val_hz_wf_ig,val_ipr_dts_wf_ig,val_ipr_wf_ig,var_90_wf_ig,var_95_wf_ig,vov_wf_ig,ytm_wf_ig
2002-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,-0.000651109596,-0.001877589791,0.000370986982,-0.001853892778,,,-0.008275554051,0.006932678038,-0.001484092287,-0.002374706176,-0.00661805446,0.005169242244,0.005967015049,-0.001767515667,-0.004349635885,0.003083809168,0.002848906359,0.0002534531966,0.007275378999,0.0006742007254,-0.0009929909881,0.0004957110365,,,-0.003865951522,0.002159418921,7.582514854e-05,-0.002676052823,0.007163166664,,,0.004650580314,0.00982380812,-0.0007002582806,-0.003740822443,-0.0002061716087,-0.001386559254,-0.002734292906,,,,,0.0001515393502,-0.0003870488279,0.006754606283,0.006535009338,-0.003470328456,-0.006072379946,0.006487987085,0.002772224919,-0.0003700432289,0.0005944747599,-0.00666704937,0.001236782361,-0.001013502199,0.0004489563086,0.000939339187,0.000285091554,0.0009471341842,0.009757692037,0.009310153653,0.006776501175,0.004201306322,0.002325157324,0.006277005235,0.009609558504,-0.0008825347059,0.01009806845,0.00244998194,0.002285043662,-0.01052824183,,0.007694998725,,-0.0001624732548,0.005860801233,0.006604623343,0.004840003781,0.0066453753,0.006331068693,0.003951155671,0.006892399166,0.004015267294,0.007793839425,0.003604110011,0.004836701225,0.0009755716072,-0.0005215372921,0.001281837966,0.0003047740307,0.001556592439,0.0004746714725,-0.001731090621,-0.00129352832,0.007403482571,-0.002102569736,-0.0009827340314,-0.003545783058,0.0002447423182,0.006262567076,-0.0004820370429,0.00392720194,0.0003802706062,0.004335983484,0.007807298568,0.009714346977,0.002153274076,0.006265494546
2002-10-31,0.0006872526055,-0.009358581895,-0.01110387751,-0.00948111732,,,0.002928319394,0.007903276367,0.002222632851,-0.009472063677,0.00217881304,-0.006905185202,-0.006427997462,-0.01130162848,-0.009811462115,0.01205895258,0.01153570182,0.01023960157,0.003589284444,0.003347923969,-0.0023770907,0.0003367988762,,,0.00340142716,-0.001163837625,0.005610266315,0.01010341585,0.005054867011,,,0.0109399664,-0.01394018452,-0.01447706935,-0.008571745866,-0.01387214047,-0.01115433145,0.00155282129,,,,,-0.0145705007,-0.01452707852,0.01343122414,-0.001640705009,-0.004248821618,-0.001592374954,-0.01226471809,-0.005976071281,-0.003881732052,0.0003874044904,-0.0002092994122,-0.004199446915,0.001882407075,0.001454869794,-0.01380942547,-0.008096826249,-0.01419454815,-0.01546270693,-0.006627338313,0.0001455656509,-0.003995324753,-0.01087679797,0.007762887038,0.00226232888,-0.00285249736,-0.01341833628,-0.009987949686,-0.008765838542,-0.0002180362015,,-0.01380127224,,-0.01228745654,-0.00968874517,-0.005909971425,-0.001209887867,-0.01216512338,-0.01017891386,-0.007793208877,-0.001600876385,-0.01131950416,-0.00874875835,-0.01701336886,-0.00616011814,-0.0003207285744,0.001856451605,-0.01133524353,0.005970333882,0.005378252135,-0.01183441781,-0.01005079116,-0.009342281087,-0.003960279486,-0.01033396816,-0.01703797791,-0.01483896619,0.005395489207,-0.01256475391,0.008109169436,-0.001770247995,0.008250453111,-0.003361434455,-0.01089814284,-0.01460070385,-0.01408042075,-0.01466911429
2002-11-30,-0.001117738075,0.00449248299,0.007333591801,0.004194111146,,,-0.002052645279,0.01158483988,0.003616459379,-0.01388622392,0.006488216834,0.0002128352417,-0.008308602663,0.0146185597,0.0115140346,-0.006889198316,0.002876606872,-0.01366598997,0.003321478161,-0.01086691542,0.01574745365,-0.01101083533,,,-0.005186978387,-0.00193393157,-0.01194428051,-0.01029645191,-0.005342395911,,,0.009823371639,0.01411191163,0.01633796708,0.01355689706,0.01593400658,0.01482492133,-0.001007179096,,,,,0.01630777314,0.0166308886,0.01435243591,-0.004040321555,-0.003577332494,0.01698523664,0.01786484298,0.001945483615,-0.002372261498,-0.003820905296,0.008332689941,0.009809549565,-0.003939479952,0.001411735662,0.01484639033,0.01486363381,0.01580095827,0.01926385833,0.002047058802,-0.003153723203,-0.003996822276,0.009917154649,-0.009629425183,-0.01069695937,-0.01941297869,0.02273281058,0.00623253674,0.01613567351,-0.006505372464,,0.01511495395,,0.009158392012,-0.002122988423,3.352659945e-05,-0.005024562519,0.01785520492,-0.005739809316,0.002878327534,-0.002953296644,-0.008527107721,-0.008691828158,0.01334720738,0.007704754422,-0.0008618557582,-0.0006961839674,0.006769817599,0.002213976988,-0.001178466912,0.01524174708,0.004991256023,0.006310965457,-0.01339080203,-0.01364648973,0.01064913504,-0.008600536511,-0.004844911275,0.01803369189,-0.01254168984,-0.006553134728,-0.009586709328,-0.0003082955215,0.01677440786,0.0151698367,0.01104078521,0.02144195732
2002-12-31,-0.001826697442,-0.003549779799,-0.003712264291,0.00857520613,,,-0.00976739283,0.00971747285,-0.0001742347977,-0.007807372942,-0.005155378715,0.007014159143,0.007546075351,0.00321619801,0.00302201774,-0.002945309418,-0.006980488767,-0.00753366169,0.00372628984,-0.007133167282,0.00938740507,-0.006695331245,,,0.006495476797,0.0009192992254,-0.008606466799,-0.01014183181,-0.005002738362,,,0.0003174348673,0.01335907772,0.006650394064,0.004649126583,0.00774357847,0.005547527417,-0.007270530923,,,,,0.01218882576,0.009520710536,0.006801329648,0.006149013433,-0.007620958907,0.0004499754764,0.01477094319,-0.002202174898,0.007762465179,-0.006969374769,0.009180646597,0.002206983635,0.001042521231,0.0001991176166,3.098493675e-05,0.00532416902,-0.0002526176356,0.01587027488,0.009831439754,0.003600128167,0.009089772811,0.002379197392,-0.001864988302,0.001504072204,0.008655311975,0.001866354876,0.001277134007,0.008051912162,-0.007849140437,,0.01408323683,,-0.005556026949,0.004996830681,0.004360914432,-0.001889419449,0.01475036691,0.003113273737,-0.005085469818,0.001580636677,0.005909381897,0.004001626735,-0.004288884685,-0.00865945513,0.004544230668,-0.001775795977,0.001616216713,0.000521762766,0.002903936502,0.002232331544,0.001756095412,0.002200849249,0.005244867247,-0.006880801716,-0.009012494037,-0.006160330559,0.01048020819,0.01488256783,-0.00898184227,-0.00373172757,-0.006698260819,0.000514251839,0.01469389115,0.01457042625,-0.003745103053,0.01298225685
2003-01-31,0.005087253987,0.005170943282,0.006297781999,-0.000713221961,,,-0.002013531262,0.01506437394,0.002964431864,-0.008235233281,0.003059475465,0.003591086793,-0.00167205841,-0.002048673924,-0.002097983055,-0.002652139398,-0.00359118609,-0.007438804322,0.001372161497,-0.009227802241,-0.002765424361,0.007529473129,,,0.008183274849,0.001864034437,-0.004551875811,0.0004532820383,-0.007598612462,,,0.007889132882,-0.001913370811,-0.004968017098,-0.004517001771,-0.004223084383,-0.004186121629,0.003581247987,,,,,-0.007175778917,-0.004595805772,0.009252719286,0.002973533903,-0.004617230867,0.002652634934,-0.00177009146,0.00689604484,-0.002524964614,0.007235471771,0.00250851389,-0.002966975974,-0.00279179556,0.0008995672454,0.0039569537,0.003905715256,0.004953472851,0.002062305195,0.00430030794,0.001748374286,0.006014469378,0.003566507861,-0.00303382626,-0.001686948101,0.00309352197,-0.004243846591,0.004602878895,-0.008817778978,-0.006664662833,,0.00260177699,,0.006257206645,0.003378596698,0.003009425742,0.0008758703162,-0.002128823103,-0.0002284318896,-0.002786426431,-0.0001581666516,-0.0008628492755,-0.001476333282,0.003202379499,0.008089976832,0.00427637433,-0.00291117161,0.003427558923,-0.002734454877,-0.001249578439,0.004221641877,0.003303094822,0.004175292746,-0.003786917272,-0.004479207608,-0.005986687123,-0.006893704451,-0.007455446516,-0.001975310074,0.004249217902,0.005306805563,0.00270779863,0.002559626968,-0.0005365614945,-9.24829597e-05,0.005927777607,0.0003563236699
2003-02-28,-0.003983325559,0.0008462339559,0.001228068731,0.004557319695,,,0.0008801353609,0.006508233332,-0.0008937735469,0.001261185828,-0.001791297791,0.0006036381469,0.003262110976,0.005930808496,0.00561399683,-0.006847689478,-0.005527160721,-0.005211644336,0.004422151858,-0.003372132278,0.002725949439,-8.616715586e-05,,,-0.0001800076371,0.003299498296,-0.006264848998,-0.004268840919,-0.008241010709,,,-0.002847533547,0.004808964704,0.007925763864,0.00698811047,0.007085131495,0.006275151732,-0.001181094445,,,,,0.008334772566,0.007904798027,-0.002923511715,-0.0005590394966,-0.004896223699,-0.0002604004445,0.009345618189,-0.001284542984,0.004878825696,0.000527394127,0.003861405737,-0.003359148237,-0.0001443886692,-0.0005767747028,0.003821584447,0.003882130426,0.003535832792,0.009327097646,0.006932459662,0.0007295691496,0.003899260863,0.002981780868,-0.000287722293,0.0008005510758,0.000190402501,2.11491403e-05,-0.004141784333,0.0003409161866,-0.002538666656,,0.00975306916,,-0.0003782720762,0.002503578502,0.001795896253,-0.004146379909,0.009482705503,0.006752210698,-0.000414950816,0.007088608404,0.008605279123,0.007447904145,-0.0004598352627,-0.005562471084,0.001005111775,-0.0003107547901,0.002856703311,-0.00380130282,-0.002737293083,0.003670471346,0.003462712652,0.001872398702,-0.004085439654,0.005270847829,0.006854597496,0.007777030083,0.004288201138,0.009407024097,-0.002754590849,0.0005043521061,-0.001904666023,0.001965001905,0.008366244974,0.008883847204,0.001205089551,0.007979290808
2003-03-31,-0.000723659094,-0.003405574465,-0.002727289445,-0.001364751339,,,-0.0007966308668,0.0003303788743,-0.0007764294291,6.161696913e-05,-0.0005592799175,-0.008242100345,0.001197545997,-0.004768522146,-0.005018928924,0.002121301291,0.002112408911,0.002810814393,-0.000854688731,0.002098898989,-0.005258481576,0.002861169806,,,0.001134939062,-0.001666891686,-0.00141905763,-0.0004860291847,-0.002506316279,,,0.002735740616,-0.005905701018,-0.006760194831,-0.004798038258,-0.006242350996,-0.005684986262,0.0006557920393,,,,,-0.00760476294,-0.006304768538,0.001231623813,0.001917390077,-0.002394575135,0.001397205852,-0.006751706038,0.002096338008,-0.0001050069451,0.003333597905,-0.0001016947715,-0.00228092504,-0.0006640342463,-0.001965349201,-0.002924262634,-0.003727774718,-0.003050984665,-0.004586394508,0.004012580381,0.004340569063,0.006516253489,-0.00307505173,-0.002316037491,-1.839680738e-05,0.004817282801,0.001394257889,0.008691205492,0.005975629837,-0.001589288549,,-0.00359233681,,-0.0009744762782,-0.001149572231,-0.0009963116283,0.002083899868,-0.006565327306,-7.277320287e-05,0.0003549490079,-0.0008760093836,0.001320888159,0.00207149277,-0.0006109621106,0.001859318201,-0.0004170863121,-0.001435793525,-0.003104911942,0.002382854057,0.0004258384944,-0.003826361361,-0.003145814497,-0.003273924101,-0.0009784521957,-0.004382242213,-0.006567043538,-0.006613601558,4.20024932e-05,-0.005826205545,0.006902872906,0.003195908481,0.007467531666,0.003030974464,-0.004315125637,-0.003830142535,-0.001890894948,-0.004636678124
2003-04-30,-0.001588088953,-0.000927109392,-0.002561894749,0.009749135857,,,0.009774553863,0.01118002424,0.008204923204,-0.001997080636,0.006525709364,-0.01136331275,0.004903793943,0.01785270239,0.01790109256,-0.01443519,-0.01069339076,-0.01321737094,0.0006033651847,0.0009262506737,0.007639873853,-0.007705931154,,,-0.005266304121,-0.003053529826,-0.01617055772,-0.01723876361,-0.01521092357,,,0.003148198789,0.008154403958,0.01977743483,0.01822309483,0.01954733004,0.01892307062,0.001447924324,,,,,0.01974706197,0.02115658245,0.004525601746,-0.008869074801,-0.00088708626,0.004171045918,0.02109013483,-0.007045993709,0.006309502968,-0.002922805867,0.01078806701,-0.003526994758,0.001214867341,0.0004682966023,0.004781424954,0.01047157494,0.004740742489,0.0194138165,-0.004714580007,-0.00792945784,-0.008921248366,0.0030806583,0.004592073654,0.000950993997,-0.001644242903,0.0016678784,-0.00434650137,-0.0115316646,-0.002835541061,,0.01815673039,,-0.001130792374,0.0002440804178,-0.002456983911,-0.004439595399,0.02106590295,0.002031340123,-0.0008085305043,0.004688489177,0.00579014011,0.003808873832,0.0009242963118,-0.0005228405371,0.002376255533,0.001536522121,0.003510571164,-0.003330747645,-0.001906316765,0.00612129781,0.001737455079,0.001075969752,-0.00793850052,0.008021182219,0.01917494569,0.01822162472,0.002116368602,0.02099928189,-0.01400523401,-0.0008035320437,-0.01432318533,-0.0005964040912,0.01931632424,0.01842790025,0.0002981029555,0.02173215702
2003-05-31,-0.001690160675,0.002554338329,0.00301608809,0.01156764422,,,-0.002251365499,0.00315819694,0.001092760104,0.004446484264,0.0002087060886,0.0031984533,0.0006756984621,0.01505785623,0.0137363424,-0.008933273879,-0.01350952543,-0.0093234253,-0.0002432424974,0.004166389818,0.009135152445,-0.006058384137,,,0.002323067332,-0.00513341721,-0.007099108915,-0.009092606994,-0.0088481872,,,-0.008665633557,0.01284684225,0.01896915164,0.01319423028,0.01783468308,0.01684520728,-0.006307942153,,,,,0.0199852394,0.01914694363,-0.0006589550796,-0.01022297155,-0.003414571961,-0.004044901698,0.02456821351,-0.006339219134,0.01022070765,0.0003388054567,0.01082497605,-0.008762979054,0.0002454079695,0.001858910841,0.01001501574,0.01408790531,0.009927591778,0.02120519194,0.00317162409,-0.00392138377,-0.004996149397,0.005997869365,0.005861248949,0.002618040423,-0.002089903719,0.006224817408,-0.00848850747,-0.0002393424521,-0.003357852194,,0.021064288,,0.001889199533,0.01044562113,0.006198642308,-7.635755816e-05,0.02466157519,0.01270829938,0.009036905859,0.004380942852,0.01045179035,0.01492932856,0.00353557238,-0.002456068464,0.002495560385,-0.0002359052764,0.00556660173,0.001553754321,0.003273864948,0.01215663348,0.004388486817,0.004070737763,0.01221729522,0.01664441894,0.01741138567,0.01768303031,0.004020412016,0.0237808832,-0.01310592197,0.0006292317932,-0.012679272,-0.001163353958,0.01998183413,0.01890101888,0.002325837511,0.02202032805
